,ta,U,V,ws,hm,vs,pm
2016-01-01 00:00:00,-3.9,-0.9970527522269202,-0.0767190281268186,0.3,89.4,2000.0,95.0
2016-01-01 01:00:00,-4.8,-0.435231099372328,-0.9003187714021931,0.4,89.3,2130.0,118.0
2016-01-01 02:00:00,-5.0,-0.6279630576493377,0.7782431485260212,0.3,89.4,1960.0,105.0
2016-01-01 03:00:00,-5.6,-0.944948912157531,-0.3272178989791039,0.6,89.2,2210.0,86.0
2016-01-01 04:00:00,-4.7,-0.989272332962988,0.1460830285624119,0.6,89.3,2700.0,81.0
2016-01-01 05:00:00,-5.4,-1.8369701987210294e-16,-1.0,0.0,89.0,1830.0,79.0
2016-01-01 06:00:00,-3.9,-0.9659258262890684,-0.2588190451025208,0.7,89.2,2230.0,75.0
2016-01-01 07:00:00,-4.0,-0.278991106039229,0.9602936856769432,0.4,89.1,2480.0,77.0
2016-01-01 08:00:00,-3.5,-0.4461978131098088,0.894934361602025,0.4,89.3,2350.0,77.0
2016-01-01 09:00:00,-1.9,-1.8369701987210294e-16,-1.0,0.0,89.3,3000.0,81.0
2016-01-01 10:00:00,-0.4,-1.8369701987210294e-16,-1.0,0.0,88.5,2850.0,100.0
2016-01-01 11:00:00,1.5,-0.7349145951499603,-0.6781596698680704,0.4,83.3,3190.0,83.0
2016-01-01 12:00:00,4.5,-0.5299192642332047,0.8480480961564261,1.5,63.6,7130.0,69.0
2016-01-01 13:00:00,5.2,-0.5150380749100542,0.8571673007021123,1.9,58.8,8510.0,56.0
2016-01-01 14:00:00,5.7,0.4461978131098087,0.894934361602025,1.5,54.5,8470.0,50.0
2016-01-01 15:00:00,5.7,0.9999025240093043,0.0139621803391454,1.4,53.5,14170.0,40.0
2016-01-01 16:00:00,5.9,0.5490228179981319,0.8358073613682702,1.8,53.8,10680.0,39.0
2016-01-01 17:00:00,5.5,0.8712138111201894,0.4909037536151408,1.5,56.2,15750.0,31.0
