date,ta,U,V,wd,ws,hm,vs
2016-01-01 00:00:00,-3.9,-0.9970527522269202,-0.07671902812681862,85.6,0.3,89.4,2000.0
2016-01-01 01:00:00,-4.8,-0.435231099372328,-0.9003187714021931,25.8,0.4,89.3,2130.0
2016-01-01 02:00:00,-5.0,-0.6279630576493377,0.7782431485260212,141.1,0.3,89.4,1960.0
2016-01-01 03:00:00,-5.6,-0.944948912157531,-0.32721789897910397,70.9,0.6,89.2,2210.0
2016-01-01 04:00:00,-4.7,-0.9892723329629881,0.14608302856241193,98.4,0.6,89.3,2700.0
2016-01-01 05:00:00,-5.4,-1.8369701987210297e-16,-1.0,0.0,0.0,89.0,1830.0
2016-01-01 06:00:00,-3.9,-0.9659258262890684,-0.25881904510252085,75.0,0.7,89.2,2230.0
2016-01-01 07:00:00,-4.0,-0.278991106039229,0.9602936856769433,163.8,0.4,89.1,2480.0
2016-01-01 08:00:00,-3.5,-0.4461978131098088,0.894934361602025,153.5,0.4,89.3,2350.0
2016-01-01 09:00:00,-1.9,-1.8369701987210297e-16,-1.0,0.0,0.0,89.3,3000.0
2016-01-01 10:00:00,-0.4,-1.8369701987210297e-16,-1.0,0.0,0.0,88.5,2850.0
2016-01-01 11:00:00,1.5,-0.7349145951499603,-0.6781596698680704,47.3,0.4,83.3,3190.0
2016-01-01 12:00:00,4.5,-0.5299192642332047,0.8480480961564261,148.0,1.5,63.6,7130.0
2016-01-01 13:00:00,5.2,-0.5150380749100542,0.8571673007021123,149.0,1.9,58.8,8510.0
2016-01-01 14:00:00,5.7,0.4461978131098087,0.894934361602025,206.5,1.5,54.5,8470.0
2016-01-01 15:00:00,5.7,0.9999025240093045,0.01396218033914547,269.2,1.4,53.5,14170.0
2016-01-01 16:00:00,5.9,0.5490228179981319,0.8358073613682702,213.3,1.8,53.8,10680.0
2016-01-01 17:00:00,5.5,0.8712138111201894,0.4909037536151408,240.6,1.5,56.2,15750.0
2016-01-01 18:00:00,4.9,0.3955455025629652,0.918446381343087,203.3,1.0,59.5,10620.0
2016-01-01 19:00:00,5.0,-0.03315517838852637,0.9994502159417573,178.1,1.7,59.6,9900.0
2016-01-01 20:00:00,5.0,0.4863353804234905,0.8737722230354652,209.1,2.8,60.4,13950.0
2016-01-01 21:00:00,4.9,0.2181432413965425,0.9759167619387475,192.6,2.0,61.2,12020.0
2016-01-01 22:00:00,4.9,0.23853345757858108,0.9711342799096362,193.8,2.5,61.9,16690.0
2016-01-01 23:00:00,4.6,-0.1236014767404925,0.9923319378854886,172.9,1.3,62.8,13640.0
2016-01-02 00:00:00,4.9,0.3073566177998072,0.9515944038794382,197.9,3.3,61.1,15210.0
2016-01-02 01:00:00,4.8,0.3272178989791039,0.944948912157531,199.1,2.1,62.5,15420.0
2016-01-02 02:00:00,4.5,0.3971478906347808,0.917754625683981,203.4,1.4,64.0,15050.0
2016-01-02 03:00:00,4.7,0.2907021935982526,0.9568135840576075,196.9,2.5,64.8,14810.0
2016-01-02 04:00:00,2.9,-1.8369701987210297e-16,-1.0,0.0,0.1,69.1,11900.0
2016-01-02 05:00:00,2.7,0.14435620100097338,0.9895257890689693,188.3,1.1,78.7,12050.0
2016-01-02 06:00:00,4.2,0.1581580672544835,0.9874138067509114,189.1,3.2,71.5,11490.0
2016-01-02 07:00:00,4.1,0.06801529066524821,0.9976842788356053,183.9,3.0,74.4,9690.0
2016-01-02 08:00:00,4.2,0.305695304963106,0.9521293927421387,197.8,2.5,74.5,8650.0
2016-01-02 09:00:00,4.8,-0.10105629718294644,0.9948807088287881,174.2,1.1,72.6,8320.0
