,Airkorea,IDW,IDW Apply
2016-01-01 0:00,95,58,95
2016-01-01 1:00,118,60.29710339,118
2016-01-01 2:00,105,69.74422297,105
2016-01-01 3:00,86,71.63169159,86
2016-01-01 4:00,81,73.5191602,81
2016-01-01 5:00,79,70.63391748,79
2016-01-01 6:00,75,78.16982694,75
2016-01-01 7:00,77,66.16888927,77
2016-01-01 8:00,77,62.90778099,77
2016-01-01 9:00,81,61.51544651,81
2016-01-01 10:00,100,61.3620105,100
2016-01-01 11:00,83,65.83973074,83
2016-01-01 12:00,69,64.6978546,69
2016-01-01 13:00,56,66.03110312,56
2016-01-01 14:00,50,57.77019832,50
2016-01-01 15:00,40,49.61789349,40
2016-01-01 16:00,39,43.81004241,39
2016-01-01 17:00,31,38.00219134,31
2016-01-01 18:00,33,34.09119706,33
2016-01-01 19:00,52,32.31525537,52
2016-01-01 20:00,54,31.16651877,54
2016-01-01 21:00,29,26.63828677,29
2016-01-01 22:00,24,22.54377461,24
2016-01-01 23:00,29,22.77845371,29
2016-01-02 0:00,43,27.92443898,43
2016-01-02 1:00,43,30.76526242,43
2016-01-02 2:00,47,37.73026607,47
2016-01-02 3:00,28,34.48778094,28
2016-01-02 4:00,38,36.11080571,38
2016-01-02 5:00,31,32.56450403,31
2016-01-02 6:00,39,32.66255099,39
2016-01-02 7:00,33,34.31796822,33
2016-01-02 8:00,43,31.87092418,43
2016-01-02 9:00,43,32.85710556,43
2016-01-02 10:00,44,36.9250391,44
2016-01-02 11:00,53,38.22397613,53
2016-01-02 12:00,58,41.55377428,58
2016-01-02 13:00,43,46.27656904,43
2016-01-02 14:00,51,43.61418465,51
2016-01-02 15:00,51,46.79087911,51
2016-01-02 16:00,51,47.1762822,51
2016-01-02 17:00,41,46.1151164,41
2016-01-02 18:00,50,46.33779446,50
2016-01-02 19:00,74,48.8666032,74
2016-01-02 20:00,62,43.91945164,62
2016-01-02 21:00,57,47.02152208,57
2016-01-02 22:00,61,45.3103633,61
2016-01-02 23:00,65,39.82712718,65
2016-01-03 0:00,71,44.3209676,71
2016-01-03 1:00,71,47.18621975,71
2016-01-03 2:00,76,54.51549767,76
2016-01-03 3:00,64,56.80129316,64
2016-01-03 4:00,58,54.61341765,58
2016-01-03 5:00,93,56.83471588,93
2016-01-03 6:00,71,61.47321983,71
2016-01-03 7:00,27,66.26011679,27
2016-01-03 8:00,32,69.61676374,32
2016-01-03 9:00,71,62.22813802,71
2016-01-03 10:00,73,66.17721865,73
2016-01-03 11:00,73,60.13216258,73
2016-01-03 12:00,89,59.53274891,89
2016-01-03 13:00,86,75.31320211,86
2016-01-03 14:00,95,78.98783066,95
2016-01-03 15:00,97,77.38711751,97
2016-01-03 16:00,101,89.24815578,101
2016-01-03 17:00,103,89.79627985,103
2016-01-03 18:00,106,92.01087717,106
2016-01-03 19:00,87,92.6814074,87
2016-01-03 20:00,110,100.9480037,110
2016-01-03 21:00,112,117.5011138,112
2016-01-03 22:00,79,114.9949219,79
2016-01-03 23:00,77,124.4502544,77
2016-01-04 0:00,102,125.8218647,102
2016-01-04 1:00,122,136.0479976,122
2016-01-04 2:00,135,142.3647656,135
2016-01-04 3:00,140,140.7151009,140
2016-01-04 4:00,131,138.2633711,131
2016-01-04 5:00,126,134.9466361,126
2016-01-04 6:00,134,124.3383522,134
2016-01-04 7:00,150,106.5945824,150
2016-01-04 8:00,107,101.3265014,107
2016-01-04 9:00,114,99.67239267,114
2016-01-04 10:00,87,87.034498,87
2016-01-04 11:00,-999,65.81865448,65.81865448
2016-01-04 12:00,-999,45.12116592,45.12116592
2016-01-04 13:00,32,34.42022723,32
2016-01-04 14:00,24,23.94631762,24
2016-01-04 15:00,16,16.74665348,16
2016-01-04 16:00,24,14.08434386,24
2016-01-04 17:00,24,16.85379921,24
2016-01-04 18:00,21,16.17686685,21
2016-01-04 19:00,20,19.5193293,20
2016-01-04 20:00,27,22.68922222,27
2016-01-04 21:00,22,19.29856101,22
2016-01-04 22:00,21,15.35745554,21
2016-01-04 23:00,24,18.28852962,24
2016-01-05 0:00,11,14.30331326,11
2016-01-05 1:00,28,18.86573964,28
2016-01-05 2:00,26,18.91228292,26
2016-01-05 3:00,22,19.73578661,22
2016-01-05 4:00,23,19.79903329,23
2016-01-05 5:00,26,21.30517228,26
2016-01-05 6:00,27,21.78177021,27
2016-01-05 7:00,29,19.52393823,29
2016-01-05 8:00,35,24.48763915,35
2016-01-05 9:00,42,26.40130935,42
2016-01-05 10:00,40,25.53274438,40
2016-01-05 11:00,44,23.13956654,44
2016-01-05 12:00,54,26.9194233,54
2016-01-05 13:00,36,34.14481434,36
2016-01-05 14:00,43,30.82623669,43
2016-01-05 15:00,48,34.59792929,48
2016-01-05 16:00,53,35.77169906,53
2016-01-05 17:00,50,43.63896822,50
2016-01-05 18:00,45,46.26196466,45
2016-01-05 19:00,46,39.29749237,46
2016-01-05 20:00,48,39.44437193,48
2016-01-05 21:00,47,37.28344304,47
2016-01-05 22:00,57,40.81015596,57
2016-01-05 23:00,46,37.16191211,46
2016-01-06 0:00,60,34.7361456,60
2016-01-06 1:00,59,37.54059792,59
2016-01-06 2:00,59,42.07906383,59
2016-01-06 3:00,54,40.42188907,54
2016-01-06 4:00,50,40.92175094,50
2016-01-06 5:00,50,39.8578713,50
2016-01-06 6:00,62,42.56120444,62
2016-01-06 7:00,61,40.75577142,61
2016-01-06 8:00,64,42.21739402,64
2016-01-06 9:00,81,52.61341397,81
2016-01-06 10:00,72,51.97272469,72
2016-01-06 11:00,75,53.85052742,75
2016-01-06 12:00,61,54.47375951,61
2016-01-06 13:00,67,54.50881208,67
2016-01-06 14:00,62,61.2013791,62
2016-01-06 15:00,55,55.03338272,55
2016-01-06 16:00,57,56.31660138,57
2016-01-06 17:00,63,53.45952611,63
2016-01-06 18:00,57,52.84752381,57
2016-01-06 19:00,57,52.23552151,57
2016-01-06 20:00,56,49.96586101,56
2016-01-06 21:00,60,47.79479686,60
2016-01-06 22:00,57,46.82897757,57
2016-01-06 23:00,60,51.57169189,60
2016-01-07 0:00,69,50.96246686,69
2016-01-07 1:00,63,56.97165272,63
2016-01-07 2:00,51,52.28929099,51
2016-01-07 3:00,42,46.13587865,42
2016-01-07 4:00,43,44.26362215,43
2016-01-07 5:00,39,38.90309045,39
2016-01-07 6:00,35,37.54761247,35
2016-01-07 7:00,48,33.1820683,48
2016-01-07 8:00,47,37.25777322,47
2016-01-07 9:00,45,33.81460184,45
2016-01-07 10:00,61,35.43021533,61
2016-01-07 11:00,51,36.21755189,51
2016-01-07 12:00,50,37.11037783,50
2016-01-07 13:00,42,40.90896318,42
2016-01-07 14:00,37,40.31549328,37
2016-01-07 15:00,29,33.7811619,29
2016-01-07 16:00,28,33.57769967,28
2016-01-07 17:00,24,39.00859024,24
2016-01-07 18:00,22,32.99850715,22
2016-01-07 19:00,19,27.9144678,19
2016-01-07 20:00,23,24.71225544,23
2016-01-07 21:00,34,24.29858904,34
2016-01-07 22:00,41,24.9270495,41
2016-01-07 23:00,40,24.0127858,40
2016-01-08 0:00,46,24.79924964,46
2016-01-08 1:00,36,20.85105156,36
2016-01-08 2:00,35,25.26864347,35
2016-01-08 3:00,33,21.84564519,33
2016-01-08 4:00,29,21.22458556,29
2016-01-08 5:00,39,22.36108125,39
2016-01-08 6:00,39,17.4622646,39
2016-01-08 7:00,60,23.85789611,60
2016-01-08 8:00,81,27.45060478,81
2016-01-08 9:00,71,28.36026606,71
2016-01-08 10:00,56,35.75165987,56
2016-01-08 11:00,54,38.98342684,54
2016-01-08 12:00,44,33.86604239,44
2016-01-08 13:00,38,28.97422332,38
2016-01-08 14:00,39,32.96918283,39
2016-01-08 15:00,37,35.53810355,37
2016-01-08 16:00,23,34.56311433,23
2016-01-08 17:00,38,42.02575652,38
2016-01-08 18:00,36,39.17238152,36
2016-01-08 19:00,26,36.9491631,26
2016-01-08 20:00,40,35.19570341,40
2016-01-08 21:00,53,34.50767626,53
2016-01-08 22:00,60,35.53058687,60
2016-01-08 23:00,41,35.04194759,41
2016-01-09 0:00,43,35.37483786,43
2016-01-09 1:00,34,37.2063483,34
2016-01-09 2:00,39,36.03297808,39
2016-01-09 3:00,42,37.36128069,42
2016-01-09 4:00,42,36.10307719,42
2016-01-09 5:00,42,32.16115314,42
2016-01-09 6:00,40,34.36052751,40
2016-01-09 7:00,43,31.41098838,43
2016-01-09 8:00,62,30.1314373,62
2016-01-09 9:00,53,33.45768022,53
2016-01-09 10:00,39,37.44883176,39
2016-01-09 11:00,45,35.50676577,45
2016-01-09 12:00,41,33.56469979,41
2016-01-09 13:00,33,37.42415808,33
2016-01-09 14:00,32,36.37262676,32
2016-01-09 15:00,34,33.5082179,34
2016-01-09 16:00,26,34.09384564,26
2016-01-09 17:00,31,29.75442134,31
2016-01-09 18:00,24,30.51329882,24
2016-01-09 19:00,37,33.10272497,37
2016-01-09 20:00,28,28.2712213,28
2016-01-09 21:00,54,28.21259032,54
2016-01-09 22:00,46,25.13077729,46
2016-01-09 23:00,56,29.57748785,56
2016-01-10 0:00,73,23.73652291,73
2016-01-10 1:00,55,33.71074525,55
2016-01-10 2:00,40,30.10331721,40
2016-01-10 3:00,57,32.90395525,57
2016-01-10 4:00,50,35.14756637,50
2016-01-10 5:00,40,37.32869091,40
2016-01-10 6:00,42,39.0856427,42
2016-01-10 7:00,46,42.81490068,46
2016-01-10 8:00,60,45.34287342,60
2016-01-10 9:00,51,39.65754769,51
2016-01-10 10:00,47,39.52047416,47
2016-01-10 11:00,25,41.95676181,25
2016-01-10 12:00,22,31.25014278,22
2016-01-10 13:00,25,27.05854994,25
2016-01-10 14:00,19,25.30823663,19
2016-01-10 15:00,22,29.51027069,22
2016-01-10 16:00,18,23.55725651,18
2016-01-10 17:00,21,24.61914746,21
2016-01-10 18:00,28,28.02643203,28
2016-01-10 19:00,32,25.20579989,32
2016-01-10 20:00,30,25.50714475,30
2016-01-10 21:00,37,26.12239251,37
2016-01-10 22:00,47,25.75001381,47
2016-01-10 23:00,41,27.7018545,41
2016-01-11 0:00,45,28.65058279,45
2016-01-11 1:00,47,29.55111626,47
2016-01-11 2:00,35,28.83933693,35
2016-01-11 3:00,33,27.87775633,33
2016-01-11 4:00,34,25.89502857,34
2016-01-11 5:00,50,25.42691731,50
2016-01-11 6:00,53,29.36675035,53
2016-01-11 7:00,53,33.15512266,53
2016-01-11 8:00,51,36.84972969,51
2016-01-11 9:00,54,37.91766353,54
2016-01-11 10:00,61,43.93243672,61
2016-01-11 11:00,54,40.15647063,54
2016-01-11 12:00,55,39.38287406,55
2016-01-11 13:00,44,38.02587829,44
2016-01-11 14:00,33,37.17753363,33
2016-01-11 15:00,41,35.58436777,41
2016-01-11 16:00,37,36.95845227,37
2016-01-11 17:00,45,40.05399274,45
2016-01-11 18:00,41,43.27261562,41
2016-01-11 19:00,47,40.20595084,47
2016-01-11 20:00,50,38.97146103,50
2016-01-11 21:00,53,37.38999541,53
2016-01-11 22:00,56,40.09124768,56
2016-01-11 23:00,59,42.29404764,59
2016-01-12 0:00,57,41.84908221,57
2016-01-12 1:00,54,45.30982884,54
2016-01-12 2:00,55,43.69819781,55
2016-01-12 3:00,67,40.60382645,67
2016-01-12 4:00,57,43.59168954,57
2016-01-12 5:00,63,42.93279388,63
2016-01-12 6:00,65,40.54786716,65
2016-01-12 7:00,77,40.29716203,77
2016-01-12 8:00,67,41.36782787,67
2016-01-12 9:00,76,44.40541616,76
2016-01-12 10:00,67,45.73490014,67
2016-01-12 11:00,49,45.95988216,49
2016-01-12 12:00,33,36.13619509,33
2016-01-12 13:00,30,37.28340247,30
2016-01-12 14:00,32,42.2714647,32
2016-01-12 15:00,27,33.75893048,27
2016-01-12 16:00,30,33.78822857,30
2016-01-12 17:00,27,35.84062866,27
2016-01-12 18:00,26,36.83988562,26
2016-01-12 19:00,26,27.15303631,26
2016-01-12 20:00,30,29.63268464,30
2016-01-12 21:00,40,29.78923506,40
2016-01-12 22:00,37,26.12844399,37
2016-01-12 23:00,28,27.82267046,28
2016-01-13 0:00,27,27.41368993,27
2016-01-13 1:00,38,31.42186552,38
2016-01-13 2:00,35,26.18943404,35
2016-01-13 3:00,35,21.97586617,35
2016-01-13 4:00,32,22.08498508,32
2016-01-13 5:00,32,23.24066629,32
2016-01-13 6:00,39,23.52410933,39
2016-01-13 7:00,42,28.81104305,42
2016-01-13 8:00,60,29.32898462,60
2016-01-13 9:00,63,30.11210182,63
2016-01-13 10:00,54,33.67260899,54
2016-01-13 11:00,60,31.94825148,60
2016-01-13 12:00,35,29.92073151,35
2016-01-13 13:00,37,35.10462879,37
2016-01-13 14:00,48,43.0001904,48
2016-01-13 15:00,45,44.20593295,45
2016-01-13 16:00,34,43.01530047,34
2016-01-13 17:00,18,39.79797468,18
2016-01-13 18:00,25,30.47130262,25
2016-01-13 19:00,28,27.33660662,28
2016-01-13 20:00,25,30.86599068,25
2016-01-13 21:00,39,29.5703328,39
2016-01-13 22:00,37,30.1421139,37
2016-01-13 23:00,35,27.77263057,35
2016-01-14 0:00,44,29.97353964,44
2016-01-14 1:00,47,28.79293896,47
2016-01-14 2:00,48,33.4318776,48
2016-01-14 3:00,50,35.08457747,50
2016-01-14 4:00,53,34.62680498,53
2016-01-14 5:00,55,37.9991824,55
2016-01-14 6:00,60,38.47754365,60
2016-01-14 7:00,69,41.35874262,69
2016-01-14 8:00,78,39.68402697,78
2016-01-14 9:00,91,40.60054984,91
2016-01-14 10:00,60,46.37826541,60
2016-01-14 11:00,59,34.46434644,59
2016-01-14 12:00,25,28.80762889,25
2016-01-14 13:00,36,34.70524416,36
2016-01-14 14:00,51,32.77963944,51
2016-01-14 15:00,50,33.55266153,50
2016-01-14 16:00,55,44.13783927,55
2016-01-14 17:00,53,41.33425754,53
2016-01-14 18:00,45,45.16874776,45
2016-01-14 19:00,52,41.83933932,52
2016-01-14 20:00,42,40.57036451,42
2016-01-14 21:00,40,35.07544363,40
2016-01-14 22:00,43,37.16146701,43
2016-01-14 23:00,44,33.51113086,44
2016-01-15 0:00,52,39.82696732,52
2016-01-15 1:00,55,41.85721902,55
2016-01-15 2:00,58,44.22821158,58
2016-01-15 3:00,50,41.80950609,50
2016-01-15 4:00,54,38.38243009,54
2016-01-15 5:00,51,43.57058884,51
2016-01-15 6:00,37,39.90310337,37
2016-01-15 7:00,30,35.83866181,30
2016-01-15 8:00,45,42.0448063,45
2016-01-15 9:00,45,38.05372945,45
2016-01-15 10:00,42,30.41337551,42
2016-01-15 11:00,29,27.17051095,29
2016-01-15 12:00,26,24.82627504,26
2016-01-15 13:00,27,24.64777412,27
2016-01-15 14:00,37,33.93602817,37
2016-01-15 15:00,51,40.95211793,51
2016-01-15 16:00,62,51.64316617,62
2016-01-15 17:00,67,57.19573144,67
2016-01-15 18:00,76,61.74963086,76
2016-01-15 19:00,87,58.94993221,87
2016-01-15 20:00,83,53.60806229,83
2016-01-15 21:00,75,52.7135349,75
2016-01-15 22:00,72,51.05347802,72
2016-01-15 23:00,67,54.31034596,67
2016-01-16 0:00,72,51.77346058,72
2016-01-16 1:00,77,65.50509055,77
2016-01-16 2:00,69,62.25493874,69
2016-01-16 3:00,62,57.45160589,62
2016-01-16 4:00,65,56.29602883,65
2016-01-16 5:00,79,58.74965018,79
2016-01-16 6:00,67,61.46980707,67
2016-01-16 7:00,62,59.82487408,62
2016-01-16 8:00,75,59.42439474,75
2016-01-16 9:00,72,59.47282097,72
2016-01-16 10:00,62,67.10662663,62
2016-01-16 11:00,55,66.36771267,55
2016-01-16 12:00,80,58.09547323,80
2016-01-16 13:00,75,51.59753675,75
2016-01-16 14:00,64,61.20502244,64
2016-01-16 15:00,71,62.29320604,71
2016-01-16 16:00,71,59.46939708,71
2016-01-16 17:00,71,68.05210509,71
2016-01-16 18:00,76,75.01955477,76
2016-01-16 19:00,76,68.210793,76
2016-01-16 20:00,77,62.87661074,77
2016-01-16 21:00,75,61.43045958,75
2016-01-16 22:00,81,63.47403349,81
2016-01-16 23:00,89,63.14549536,89
2016-01-17 0:00,91,59.83450543,91
2016-01-17 1:00,78,67.03262867,78
2016-01-17 2:00,73,69.55042071,73
2016-01-17 3:00,66,70.10860615,66
2016-01-17 4:00,60,72.73834003,60
2016-01-17 5:00,62,73.54783935,62
2016-01-17 6:00,59,66.9443192,59
2016-01-17 7:00,62,64.2844416,62
2016-01-17 8:00,58,61.25181378,58
2016-01-17 9:00,65,62.21336733,65
2016-01-17 10:00,62,61.83401989,62
2016-01-17 11:00,70,57.09803189,70
2016-01-17 12:00,67,57.39498459,67
2016-01-17 13:00,69,54.4594714,69
2016-01-17 14:00,78,55.4534422,78
2016-01-17 15:00,73,54.33116836,73
2016-01-17 16:00,74,58.57130218,74
2016-01-17 17:00,78,56.85749286,78
2016-01-17 18:00,91,61.57698819,91
2016-01-17 19:00,96,59.64490723,96
2016-01-17 20:00,90,56.25777886,90
2016-01-17 21:00,86,57.85564921,86
2016-01-17 22:00,105,53.75201108,105
2016-01-17 23:00,117,61.67657733,117
2016-01-18 0:00,117,63.14644347,117
2016-01-18 1:00,117,80.70971452,117
2016-01-18 2:00,97,81.31275421,97
2016-01-18 3:00,69,80.69535711,69
2016-01-18 4:00,62,81.84149899,62
2016-01-18 5:00,70,67.51157766,70
2016-01-18 6:00,70,56.45783848,70
2016-01-18 7:00,68,59.98875754,68
2016-01-18 8:00,58,58.98954372,58
2016-01-18 9:00,51,55.58076404,51
2016-01-18 10:00,48,53.26148775,48
2016-01-18 11:00,38,48.67702274,38
2016-01-18 12:00,46,47.04877721,46
2016-01-18 13:00,-999,48.10170092,48.10170092
2016-01-18 14:00,-999,36.01896777,36.01896777
2016-01-18 15:00,80,46.54709588,80
2016-01-18 16:00,42,39.0212809,42
2016-01-18 17:00,34,35.39961695,34
2016-01-18 18:00,23,31.46213637,23
2016-01-18 19:00,20,19.52550592,20
2016-01-18 20:00,19,18.40627332,19
2016-01-18 21:00,23,18.36742927,23
2016-01-18 22:00,21,22.21884589,21
2016-01-18 23:00,22,24.24715837,22
2016-01-19 0:00,55,26.68636702,55
2016-01-19 1:00,26,32.56501635,26
2016-01-19 2:00,26,28.99345724,26
2016-01-19 3:00,25,25.75411833,25
2016-01-19 4:00,27,24.58234723,27
2016-01-19 5:00,22,21.29153619,22
2016-01-19 6:00,15,21.15178151,15
2016-01-19 7:00,25,22.54861695,25
2016-01-19 8:00,25,23.4837293,25
2016-01-19 9:00,28,21.60835137,28
2016-01-19 10:00,26,20.34627423,26
2016-01-19 11:00,33,23.20761059,33
2016-01-19 12:00,27,33.9884114,27
2016-01-19 13:00,25,50.68028073,25
2016-01-19 14:00,38,35.97277845,38
2016-01-19 15:00,43,32.86723042,43
2016-01-19 16:00,45,34.98356765,45
2016-01-19 17:00,39,36.85747739,39
2016-01-19 18:00,29,36.29877607,29
2016-01-19 19:00,26,35.97507253,26
2016-01-19 20:00,32,28.93898064,32
2016-01-19 21:00,39,29.99049801,39
2016-01-19 22:00,27,27.39836128,27
2016-01-19 23:00,30,26.21916777,30
2016-01-20 0:00,29,24.50825931,29
2016-01-20 1:00,23,24.05688076,23
2016-01-20 2:00,31,26.92177928,31
2016-01-20 3:00,27,25.44089095,27
2016-01-20 4:00,31,23.63658293,31
2016-01-20 5:00,30,26.34170109,30
2016-01-20 6:00,31,24.64205936,31
2016-01-20 7:00,39,28.23613291,39
2016-01-20 8:00,37,28.85952921,37
2016-01-20 9:00,40,27.2976725,40
2016-01-20 10:00,42,27.21542804,42
2016-01-20 11:00,35,30.99459026,35
2016-01-20 12:00,46,31.00942534,46
2016-01-20 13:00,58,37.51666304,58
2016-01-20 14:00,40,44.02390073,40
2016-01-20 15:00,40,37.31640871,40
2016-01-20 16:00,46,35.97145637,46
2016-01-20 17:00,51,38.89047109,51
2016-01-20 18:00,42,51.93833553,42
2016-01-20 19:00,33,48.90964574,33
2016-01-20 20:00,42,46.23599125,42
2016-01-20 21:00,55,45.25556071,55
2016-01-20 22:00,63,42.48227576,63
2016-01-20 23:00,65,36.60285394,65
2016-01-21 0:00,62,40.81556785,62
2016-01-21 1:00,56,51.55222842,56
2016-01-21 2:00,52,48.57525377,52
2016-01-21 3:00,54,46.98174343,54
2016-01-21 4:00,56,44.33895653,56
2016-01-21 5:00,53,43.95239446,53
2016-01-21 6:00,58,47.5201989,58
2016-01-21 7:00,57,46.07134969,57
2016-01-21 8:00,62,48.14692085,62
2016-01-21 9:00,58,51.20828977,58
2016-01-21 10:00,52,52.78300301,52
2016-01-21 11:00,27,47.21144405,27
2016-01-21 12:00,30,39.96579901,30
2016-01-21 13:00,47,35.65246339,47
2016-01-21 14:00,30,44.18424077,30
2016-01-21 15:00,19,40.96427767,19
2016-01-21 16:00,24,38.15674785,24
2016-01-21 17:00,28,39.49044697,28
2016-01-21 18:00,29,37.68846886,29
2016-01-21 19:00,36,32.45348338,36
2016-01-21 20:00,43,35.72756817,43
2016-01-21 21:00,53,37.43686948,53
2016-01-21 22:00,62,42.83119616,62
2016-01-21 23:00,60,44.89897354,60
2016-01-22 0:00,57,51.59259833,57
2016-01-22 1:00,52,47.67089897,52
2016-01-22 2:00,48,49.61441904,48
2016-01-22 3:00,53,46.62786614,53
2016-01-22 4:00,48,43.75848795,48
2016-01-22 5:00,46,45.09500632,46
2016-01-22 6:00,56,45.33424838,56
2016-01-22 7:00,60,43.33987705,60
2016-01-22 8:00,85,42.14753975,85
2016-01-22 9:00,79,37.98187636,79
2016-01-22 10:00,42,35.92779511,42
2016-01-22 11:00,55,38.50381251,55
2016-01-22 12:00,46,34.58818954,46
2016-01-22 13:00,42,37.8293539,42
2016-01-22 14:00,42,36.19565719,42
2016-01-22 15:00,52,36.57126655,52
2016-01-22 16:00,51,37.38321865,51
2016-01-22 17:00,56,39.87900536,56
2016-01-22 18:00,51,43.33731162,51
2016-01-22 19:00,49,36.09353489,49
2016-01-22 20:00,37,35.04811406,37
2016-01-22 21:00,32,32.29427609,32
2016-01-22 22:00,30,30.67288342,30
2016-01-22 23:00,31,32.53597872,31
2016-01-23 0:00,23,26.55809541,23
2016-01-23 1:00,25,32.64570339,25
2016-01-23 2:00,29,23.85457622,29
2016-01-23 3:00,32,24.4688343,32
2016-01-23 4:00,37,30.59012394,37
2016-01-23 5:00,56,32.68504159,56
2016-01-23 6:00,53,39.57966706,53
2016-01-23 7:00,40,38.46956622,40
2016-01-23 8:00,37,42.50308594,37
2016-01-23 9:00,25,31.80952076,25
2016-01-23 10:00,53,26.70191189,53
2016-01-23 11:00,67,27.8801515,67
2016-01-23 12:00,49,35.23943208,49
2016-01-23 13:00,38,38.39706574,38
2016-01-23 14:00,28,48.68320229,28
2016-01-23 15:00,41,37.73106578,41
2016-01-23 16:00,39,38.61745139,39
2016-01-23 17:00,28,28.95227902,28
2016-01-23 18:00,43,32.83551467,43
2016-01-23 19:00,28,26.75273602,28
2016-01-23 20:00,16,18.14438728,16
2016-01-23 21:00,18,13.28169845,18
2016-01-23 22:00,21,13.96428429,21
2016-01-23 23:00,18,13.99576357,18
2016-01-24 0:00,25,15.79823937,25
2016-01-24 1:00,22,19.10175627,22
2016-01-24 2:00,26,20.85809216,26
2016-01-24 3:00,33,26.98344712,33
2016-01-24 4:00,35,32.34141934,35
2016-01-24 5:00,47,38.25401965,47
2016-01-24 6:00,48,39.37518344,48
2016-01-24 7:00,53,41.14085601,53
2016-01-24 8:00,47,40.24407948,47
2016-01-24 9:00,46,37.79884978,46
2016-01-24 10:00,42,39.8595729,42
2016-01-24 11:00,40,34.44952476,40
2016-01-24 12:00,50,31.50567263,50
2016-01-24 13:00,36,37.36778373,36
2016-01-24 14:00,33,37.52761834,33
2016-01-24 15:00,36,40.4323076,36
2016-01-24 16:00,40,42.53952676,40
2016-01-24 17:00,35,42.8964081,35
2016-01-24 18:00,28,40.8078362,28
2016-01-24 19:00,24,40.64302127,24
2016-01-24 20:00,23,36.81029677,23
2016-01-24 21:00,28,30.4352516,28
2016-01-24 22:00,30,28.17484307,30
2016-01-24 23:00,33,28.67455759,33
2016-01-25 0:00,41,29.17427211,41
2016-01-25 1:00,40,32.30803466,40
2016-01-25 2:00,45,30.29539065,45
2016-01-25 3:00,42,32.56178441,42
2016-01-25 4:00,44,34.43154992,44
2016-01-25 5:00,51,36.7736304,51
2016-01-25 6:00,56,37.95938108,56
2016-01-25 7:00,60,39.21801473,60
2016-01-25 8:00,67,41.08323388,67
2016-01-25 9:00,59,41.63225519,59
2016-01-25 10:00,53,43.52260886,53
2016-01-25 11:00,-999,45.95129117,45.95129117
2016-01-25 12:00,-999,42.81551598,42.81551598
2016-01-25 13:00,62,48.91808449,62
2016-01-25 14:00,54,48.34565379,54
2016-01-25 15:00,59,52.96687069,59
2016-01-25 16:00,63,53.15540073,63
2016-01-25 17:00,69,56.97481572,69
2016-01-25 18:00,71,65.47937588,71
2016-01-25 19:00,72,65.63414632,72
2016-01-25 20:00,77,64.64328681,77
2016-01-25 21:00,95,61.26365484,95
2016-01-25 22:00,97,62.76398662,97
2016-01-25 23:00,97,62.20622906,97
2016-01-26 0:00,98,59.59405424,98
2016-01-26 1:00,88,72.30767681,88
2016-01-26 2:00,99,74.26010524,99
2016-01-26 3:00,89,73.12705402,89
2016-01-26 4:00,85,70.99488256,85
2016-01-26 5:00,80,74.44149699,80
2016-01-26 6:00,75,80.25728155,75
2016-01-26 7:00,69,68.24011773,69
2016-01-26 8:00,72,61.56746831,72
2016-01-26 9:00,70,65.28235088,70
2016-01-26 10:00,96,59.57937942,96
2016-01-26 11:00,85,68.24169152,85
2016-01-26 12:00,84,70.02252571,84
2016-01-26 13:00,66,65.586872,66
2016-01-26 14:00,57,58.06353702,57
2016-01-26 15:00,65,59.80230454,65
2016-01-26 16:00,75,57.84736241,75
2016-01-26 17:00,73,68.16400085,73
2016-01-26 18:00,84,72.73284629,84
2016-01-26 19:00,74,70.6301677,74
2016-01-26 20:00,80,65.98325813,80
2016-01-26 21:00,77,65.41052215,77
2016-01-26 22:00,80,68.15232894,80
2016-01-26 23:00,54,66.32809784,54
2016-01-27 0:00,60,63.48359977,60
2016-01-27 1:00,65,59.69701204,65
2016-01-27 2:00,60,60.03984291,60
2016-01-27 3:00,64,59.77796393,64
2016-01-27 4:00,66,60.08114949,66
2016-01-27 5:00,67,61.99143132,67
2016-01-27 6:00,70,62.30924535,70
2016-01-27 7:00,74,59.01647819,74
2016-01-27 8:00,74,60.91413617,74
2016-01-27 9:00,96,66.15747069,96
2016-01-27 10:00,82,71.4008052,82
2016-01-27 11:00,106,69.4934007,106
2016-01-27 12:00,60,60.76492542,60
2016-01-27 13:00,57,63.2409765,57
2016-01-27 14:00,64,59.3235261,64
2016-01-27 15:00,68,47.43128678,68
2016-01-27 16:00,58,46.09966654,58
2016-01-27 17:00,63,52.36195325,63
2016-01-27 18:00,55,52.89972122,55
2016-01-27 19:00,64,53.31850562,64
2016-01-27 20:00,80,52.05364236,80
